,Unnamed: 0,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,April,August,December,February,January,July,June,March,May,November,October,September,FullYearHoursWorked,FullName
10,10,11,45,No,Travel_Rarely,Research & Development,17,2,Medical,1,Male,2,Laboratory Technician,Married,79910,0,Y,13,8,2,21,2,20,4,10,3,4,3,2,3,167.6225,177.65555555555557,184.76888888888888,168.20944444444444,141.2475,186.6288888888889,168.56222222222223,176.63166666666666,169.57361111111112,132.1027777777778,175.3738888888889,176.86305555555555,2036.24,James Wilson
11,11,12,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0,Y,12,8,2,16,2,15,10,11,3,4,3,3,3,133.4272222222222,148.95583333333332,147.0036111111111,136.76833333333337,132.85944444444445,150.89277777777778,154.16805555555555,147.2875,133.51611111111112,120.34972222222224,148.92,149.46944444444443,1715.6180555555554,David Frey
12,12,13,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Female,1,Sales Executive,Single,55380,0,Y,17,8,0,37,2,36,4,13,4,1,3,3,3,185.63666666666663,186.34333333333333,198.21055555555557,184.6175,149.53555555555556,184.18166666666667,175.30388888888888,184.92694444444444,177.14166666666668,148.09833333333333,178.0186111111111,178.00805555555556,2143.0227777777777,Amy Oliver
13,13,14,47,Yes,Non-Travel,Research & Development,1,1,Medical,1,Male,1,Research Scientist,Married,57620,1,Y,11,8,2,10,4,10,9,9,1,2,2,2,3,188.68472222222223,197.30972222222223,207.16583333333327,188.6536111111111,180.29888888888888,188.9125,195.3680555555556,188.1772222222222,187.54611111111112,158.8138888888889,177.3138888888889,150.73944444444444,2222.983888888889,James Guerrero
14,14,15,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1,Y,14,8,0,5,2,5,0,4,4,4,2,3,3,135.1663888888889,121.98805555555556,129.44805555555556,114.0277777777778,109.23277777777778,131.9611111111111,128.36972222222224,128.70305555555555,113.56694444444445,98.46805555555557,129.47722222222222,127.20555555555556,1482.6147222222223,George Vazquez
15,15,16,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4,Y,11,8,0,7,2,5,0,1,3,4,4,3,3,146.04861111111111,133.61583333333334,140.4922222222222,134.3575,126.27444444444444,141.90527777777777,148.65916666666666,121.435,120.98333333333332,114.03416666666666,134.11111111111111,127.20972222222224,1605.1263888888886,Jonathan Santos
16,16,17,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1,Y,12,8,3,3,3,3,1,0,4,3,4,2,3,127.84638888888888,132.0675,126.79694444444443,117.37916666666666,125.20055555555555,132.24444444444444,119.31722222222224,128.9113888888889,132.04916666666668,111.80694444444444,125.6661111111111,123.23638888888888,1519.5222222222224,Steven Perkins
17,17,18,37,No,Non-Travel,Research & Development,1,3,Medical,1,Male,2,Sales Executive,Divorced,41270,2,Y,13,8,1,15,2,5,0,2,1,4,3,3,3,241.65694444444443,229.97416666666663,243.58055555555555,220.08944444444444,186.3813888888889,241.85222222222225,245.24916666666667,230.27083333333331,210.33055555555555,196.2797222222222,232.9638888888889,230.89583333333331,2727.5247222222224,Charles Brown
18,18,19,35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7,Y,16,8,0,10,5,7,6,2,2,2,2,2,3,132.74277777777775,124.89194444444443,141.01083333333332,126.7372222222222,132.92666666666668,136.95305555555555,153.87,144.9391666666667,138.90222222222224,104.20722222222224,138.21083333333334,139.38694444444445,1633.778888888889,Tracy Burns
19,19,20,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,1,Manager,Divorced,68700,1,Y,11,8,1,8,5,8,7,7,1,1,3,3,3,192.7544444444445,175.4138888888889,189.1472222222222,167.53,175.4225,184.86944444444444,185.87027777777777,166.56555555555556,175.8488888888889,167.69583333333333,176.73916666666668,188.95416666666668,2166.8113888888893,Cheryl Shah
20,20,21,26,No,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Laboratory Technician,Divorced,104470,1,Y,18,8,0,6,3,6,1,4,3,2,1,3,3,166.28222222222223,150.72083333333333,152.95111111111112,150.10416666666666,136.78333333333333,129.00861111111112,160.5377777777778,144.83,130.33166666666668,137.36388888888888,152.34694444444443,149.8,1782.0605555555553,Kent Daniel
21,21,22,50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3,Y,23,8,0,28,2,10,1,6,1,2,2,2,4,113.64111111111112,120.0136111111111,112.89916666666666,121.59611111111111,102.98694444444445,126.31361111111111,127.1775,113.04194444444444,112.26722222222222,100.71583333333334,126.76527777777778,122.5886111111111,1422.0069444444443,Stanley Mitchell
22,22,23,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,2,Research Scientist,Married,21480,3,Y,11,8,0,21,2,5,1,3,3,3,2,3,3,175.49305555555554,148.28916666666666,176.65833333333333,152.19194444444443,127.59,177.79194444444445,184.065,174.79305555555555,160.37583333333333,145.2513888888889,160.1436111111111,166.64583333333334,1972.2891666666665,Heather Humphrey
23,23,24,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1,Y,14,8,0,10,4,20,11,6,2,3,3,1,3,151.87305555555557,140.38083333333333,151.11638888888888,136.4736111111111,115.64444444444445,147.93027777777775,150.0363888888889,135.92166666666665,131.00555555555556,113.46944444444443,137.60111111111112,135.8425,1671.2952777777775,Chad Duran
24,24,25,29,No,Travel_Frequently,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,Single,65130,1,Y,11,8,1,10,2,10,0,9,2,4,2,3,3,155.9488888888889,128.30777777777777,119.32083333333334,141.52388888888888,127.94083333333332,136.28694444444443,147.92111111111112,133.65416666666667,143.26638888888888,128.20388888888888,143.39249999999998,132.75444444444446,1663.5216666666668,Brent Vaughn
25,25,26,55,No,Travel_Rarely,Research & Development,1,4,Other,1,Female,1,Research Scientist,Married,67990,3,Y,11,8,0,12,2,10,0,8,2,4,3,3,3,187.94083333333333,198.39638888888888,206.30416666666667,189.1677777777778,166.0052777777778,205.17666666666668,206.42166666666665,176.68194444444444,185.36388888888888,160.57,187.74055555555557,186.47333333333333,2282.2425,Michaela Dodson
26,26,27,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,1,Manager,Married,162910,1,Y,22,8,0,5,3,5,3,3,1,1,3,3,4,230.20916666666668,231.24666666666667,232.2075,220.89027777777775,175.81722222222223,240.94083333333333,230.21972222222223,210.3855555555556,217.2772222222222,197.15472222222223,219.0638888888889,218.1197222222222,2650.5325000000003,Sarah Gordon
27,27,28,37,No,Travel_Rarely,Sales,5,1,Marketing,1,Male,1,Research Scientist,Single,27050,1,Y,11,8,0,17,2,17,5,7,4,4,3,3,3,159.56333333333333,160.54722222222222,168.16083333333333,142.7486111111111,136.3538888888889,151.6638888888889,166.21555555555554,153.05305555555557,130.8488888888889,137.175,150.49444444444444,137.82416666666666,1822.648888888889,Craig Hernandez
28,28,29,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,Divorced,103330,3,Y,14,8,1,19,2,1,0,0,4,3,1,2,3,228.96222222222224,230.55777777777777,242.42361111111111,221.1508333333333,208.3622222222222,218.26277777777776,241.6858333333333,219.3805555555556,218.95222222222225,197.75611111111112,208.515,231.54416666666668,2696.5533333333333,Joseph Hicks
29,29,30,38,No,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,Divorced,44480,9,Y,12,8,0,10,3,2,1,2,4,4,3,2,3,136.95777777777778,121.9975,150.42833333333334,123.115,108.86944444444444,151.4225,137.91222222222223,142.00944444444443,116.72,110.87722222222224,135.16055555555556,135.72333333333333,1601.1933333333332,Andrea Leach
30,30,31,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,Divorced,68540,2,Y,11,8,0,5,5,3,0,2,1,2,3,2,3,220.5861111111111,200.365,212.58333333333331,194.3383333333333,190.10083333333333,222.85444444444445,214.24777777777777,202.1761111111111,181.54361111111112,174.80083333333334,211.76361111111112,180.67916666666667,2437.039166666667,Jordan Haynes
31,31,32,28,No,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,Single,96370,1,Y,13,8,0,5,6,5,0,2,4,4,3,2,3,148.25861111111112,134.7588888888889,141.07444444444445,134.63944444444445,121.27638888888887,148.4438888888889,138.60472222222222,127.52638888888887,132.35472222222222,122.12805555555556,134.63111111111112,140.0425,1655.7391666666667,Daniel Sanchez
32,32,33,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,Single,35910,9,Y,13,8,0,22,2,3,1,2,3,1,3,3,3,219.9597222222222,211.66222222222223,210.17777777777775,199.54166666666663,178.58777777777777,233.3658333333333,198.38944444444445,209.92805555555557,188.6038888888889,169.76083333333332,221.81222222222223,219.4727777777778,2494.2622222222226,Alexandra Cooper
33,33,34,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,Single,54050,4,Y,14,8,0,10,2,8,7,7,3,2,3,3,3,136.15194444444444,123.135,129.62805555555556,122.17527777777778,119.77388888888888,136.20694444444445,129.37944444444446,123.90472222222222,117.64027777777778,108.94166666666666,131.58083333333337,123.92361111111111,1536.4416666666668,Derek Henderson
34,34,35,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Divorced,46840,1,Y,16,8,1,2,4,2,2,2,4,2,2,3,3,133.16055555555556,131.1375,145.87944444444443,125.27055555555556,123.65416666666668,137.82,137.0636111111111,132.40694444444443,130.42666666666668,118.71916666666668,139.86638888888888,125.32833333333332,1615.7333333333331,James Flowers
35,35,36,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,Single,157870,1,Y,12,8,2,8,5,8,7,4,4,4,3,3,3,196.27277777777775,184.51166666666663,216.59027777777777,182.04166666666669,165.02083333333334,227.8086111111111,224.65972222222223,216.5063888888889,195.78611111111115,153.47305555555556,215.5361111111111,204.95277777777775,2419.16,Steven Thompson
36,36,37,37,No,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1,Y,14,8,0,4,3,4,1,2,2,4,2,3,3,221.3763888888889,189.6563888888889,220.35083333333333,198.65944444444443,187.88333333333333,209.99277777777775,219.44722222222225,190.8672222222222,190.2375,167.51416666666665,208.6822222222222,211.1538888888889,2452.821388888889,James Martin
37,37,38,42,No,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,Married,29560,5,Y,13,8,0,23,2,20,4,8,3,2,4,3,3,119.495,127.01055555555556,121.6125,112.10444444444444,109.14944444444444,123.63194444444444,106.95194444444444,120.70694444444445,106.08277777777778,99.9475,116.60888888888888,111.9986111111111,1413.3005555555558,Matthew Proctor
38,38,39,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1,Y,14,8,2,0,3,0,0,0,3,3,3,2,3,130.0961111111111,128.95333333333332,144.5675,129.0438888888889,120.98055555555555,141.98583333333332,130.3275,102.14305555555556,126.11583333333331,121.90638888888888,133.38444444444443,128.64027777777778,1577.144722222222,Dakota Miranda
39,39,40,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0,Y,19,8,0,12,2,11,6,9,3,2,2,2,3,170.38333333333333,139.37444444444444,167.39166666666668,137.87777777777777,138.92333333333335,171.1275,159.8513888888889,153.2238888888889,146.49416666666667,138.07583333333332,153.69833333333332,161.52666666666667,1877.9483333333333,Eric Smith
40,40,41,36,No,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,Married,69620,4,Y,12,8,2,4,2,1,0,0,3,3,3,2,3,160.14388888888888,154.17638888888888,158.20638888888888,143.2302777777778,128.24666666666667,156.83722222222224,160.07861111111112,144.9975,131.26361111111112,129.8108333333333,150.89694444444444,140.0663888888889,1798.9547222222225,Pamela Peterson
41,41,42,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5,Y,13,8,0,13,2,4,1,2,4,2,3,2,3,151.55055555555555,157.61083333333335,160.07694444444445,145.06472222222223,137.5336111111111,158.00972222222222,147.2675,153.82999999999998,136.8863888888889,135.76611111111112,151.61,149.56444444444443,1826.7708333333333,Christopher Graham
42,42,43,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1,Y,12,8,0,22,6,22,0,4,4,2,3,3,3,147.70166666666665,145.12527777777777,152.57083333333333,125.39944444444444,133.2488888888889,151.83444444444444,146.39027777777778,147.41222222222223,131.64638888888888,117.48861111111113,144.2913888888889,139.43,1725.5394444444446,David Ortiz
43,43,44,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1,Y,15,8,0,0,3,0,0,0,4,3,3,3,3,142.07555555555555,147.4961111111111,148.22055555555556,140.58777777777777,135.05583333333334,145.16027777777776,145.35694444444445,145.1172222222222,127.65416666666668,118.6463888888889,139.76,147.0,1726.1308333333332,Jeremy Butler
44,44,45,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0,Y,23,8,2,9,2,8,0,7,2,1,3,2,4,156.87222222222223,135.32194444444443,157.6938888888889,144.40083333333334,136.11333333333334,162.0963888888889,158.85944444444445,152.55638888888888,129.95527777777778,127.76083333333334,149.50361111111113,146.0497222222222,1802.183888888889,Kevin Roberts
45,45,46,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4,Y,12,8,1,10,2,8,7,7,2,4,2,3,3,143.1586111111111,151.82916666666668,149.42666666666668,134.98777777777778,129.14333333333337,159.02583333333334,151.41083333333333,135.45472222222222,143.5222222222222,128.44055555555556,144.0611111111111,151.02916666666667,1767.49,Brandon Miller
46,46,47,39,No,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0,Y,20,8,0,19,3,18,3,7,3,4,2,3,4,153.61666666666667,146.74722222222223,157.52666666666667,152.53027777777777,135.56333333333333,151.04916666666668,138.73944444444444,158.1886111111111,155.03666666666666,139.09166666666667,144.26555555555555,162.29305555555555,1841.6483333333333,Ashley Meyer
47,47,48,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7,Y,21,8,0,11,4,9,0,8,2,2,3,3,4,165.6013888888889,164.54861111111111,149.15555555555557,146.98305555555555,133.1652777777778,156.67805555555557,164.99388888888888,155.54805555555555,148.41166666666666,141.77138888888888,163.81194444444444,165.7002777777778,1904.3691666666664,Ian Aguirre
48,48,49,32,No,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1,Y,21,8,1,13,4,13,4,8,4,3,2,3,4,133.84166666666667,147.91194444444446,146.2813888888889,122.4336111111111,119.73944444444444,138.41277777777776,127.68555555555557,136.50722222222225,133.44805555555556,105.37444444444444,132.86527777777778,138.77027777777778,1632.2716666666663,Jonathan Erickson
49,49,50,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3,Y,19,8,2,19,4,10,0,1,1,2,3,2,3,143.37277777777777,137.91916666666663,132.48277777777778,137.61444444444444,111.09055555555555,137.28861111111112,150.90694444444443,146.47694444444446,109.9375,103.04833333333332,131.1136111111111,133.41305555555556,1624.664722222222,Veronica Brown
50,50,51,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2,Y,13,8,2,12,3,5,1,2,4,3,3,2,3,240.3672222222222,218.0872222222222,238.2244444444445,219.95111111111112,208.6688888888889,238.9558333333333,227.73333333333332,227.88416666666663,207.16444444444448,183.20111111111112,219.3227777777778,207.14166666666668,2687.702222222222,Alan Taylor
51,51,52,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0,Y,13,8,1,6,3,5,0,3,3,4,3,2,3,198.57722222222225,172.67944444444444,182.44027777777777,184.345,172.9188888888889,191.8486111111111,202.60888888888888,172.81194444444444,172.77777777777777,154.61111111111111,173.47611111111112,183.6875,2214.782777777777,Jasmine Berry
52,52,53,31,No,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3,Y,21,8,1,9,2,2,1,0,1,1,3,3,4,145.2002777777778,142.55777777777777,145.45833333333334,134.81694444444446,128.74694444444444,143.32833333333335,145.0325,138.18805555555556,129.1825,108.99861111111112,136.01444444444445,135.19416666666666,1685.718888888889,Patrick Bell
53,53,54,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1,Y,13,8,0,24,6,24,9,11,1,1,3,3,3,152.2061111111111,153.63694444444445,160.105,131.9438888888889,125.24555555555555,160.07361111111112,162.12916666666666,154.805,132.355,110.16388888888888,138.36888888888888,145.5547222222222,1780.587777777778,Traci Smith
54,54,55,31,No,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0,Y,19,8,2,3,0,2,2,2,3,4,1,3,3,187.6825,183.74694444444444,188.48388888888888,172.16944444444445,153.98611111111111,189.7105555555556,179.88027777777776,180.29222222222225,172.14944444444444,147.38972222222222,182.2513888888889,163.29222222222222,2156.034722222222,Sara Clark
55,55,56,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6,Y,12,8,1,12,3,10,8,8,4,2,3,3,3,142.05833333333334,130.29305555555555,128.80694444444444,136.12805555555556,128.40972222222223,142.03666666666666,146.00944444444443,130.30444444444444,128.86305555555555,120.56638888888888,136.00861111111112,138.5236111111111,1664.0083333333332,Shaun Johnson
56,56,57,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1,Y,22,8,1,21,6,21,11,10,3,1,3,3,4,232.1211111111111,230.80555555555557,240.45444444444445,222.9061111111111,210.59333333333333,229.2633333333333,219.46138888888888,230.05166666666668,220.2722222222222,196.38361111111112,229.69083333333333,229.5908333333333,2748.5944444444444,Vincent Malone
57,57,58,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0,Y,15,8,0,9,2,8,1,7,3,4,3,3,3,162.47916666666666,153.88333333333333,161.5197222222222,138.54472222222222,145.54833333333335,160.1147222222222,137.6352777777778,137.60888888888888,131.9358333333333,130.18416666666667,146.1652777777778,139.23527777777778,1802.8547222222223,William Carpenter
58,58,59,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7,Y,22,8,0,25,2,7,0,7,3,3,3,3,4,218.05027777777775,210.1225,218.6555555555556,200.01222222222225,180.59916666666663,219.06333333333333,206.30666666666667,187.38472222222225,199.51944444444445,168.81555555555556,199.19972222222225,209.8430555555556,2476.572222222222,Christopher Booker
59,59,60,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2,Y,18,8,1,11,2,8,7,7,3,2,2,3,3,158.06805555555556,167.4161111111111,159.29583333333332,157.96138888888888,142.94277777777776,157.1638888888889,166.0375,165.78666666666666,157.33694444444444,142.30277777777778,164.72333333333333,150.38583333333332,1949.421111111111,Jessica Miller
60,60,61,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1,Y,22,8,0,4,2,4,1,2,3,2,2,3,4,214.6875,214.20305555555555,233.7125,212.9377777777778,192.0088888888889,235.0938888888889,234.2125,223.9475,213.5822222222222,193.2869444444445,223.18527777777777,213.2111111111111,2665.0691666666667,Larry Crawford
61,61,62,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1,Y,11,8,1,13,6,13,11,9,3,2,3,4,3,228.8625,199.00222222222223,218.29805555555555,200.75861111111112,169.3636111111111,230.60444444444445,221.46416666666667,209.55277777777775,209.20166666666665,189.0669444444445,220.51777777777775,211.89222222222224,2570.585,John Moore
62,62,63,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,Single,28560,1,Y,12,8,2,5,5,5,0,4,4,3,3,4,3,191.53083333333333,211.32861111111112,203.14333333333332,189.46027777777775,181.0533333333333,202.22722222222225,221.4425,200.5405555555556,170.7486111111111,161.62444444444444,192.4061111111111,200.4936111111111,2388.999444444444,Barbara Carpenter
63,63,64,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7,4,4,3,4,3,138.65277777777777,139.1313888888889,144.31472222222223,130.46277777777777,124.5902777777778,137.06305555555556,138.45333333333332,141.1838888888889,126.5775,113.25944444444444,137.76305555555555,134.0522222222222,1669.5044444444447,Jesse Martinez
64,64,65,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7,Y,13,8,0,10,2,7,0,7,1,4,2,3,3,156.97972222222222,157.35083333333333,148.48694444444445,141.0175,134.4036111111111,164.38833333333332,158.1122222222222,149.26361111111112,149.48944444444444,120.93166666666669,144.57111111111112,152.01083333333332,1842.0058333333327,Jeffrey Swanson
65,65,66,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5,Y,14,8,1,5,4,3,2,2,1,4,2,2,3,225.6825,224.12027777777777,236.3322222222222,216.45694444444445,204.2063888888889,236.16666666666669,224.9611111111111,226.27166666666668,215.0038888888889,193.7133333333333,221.1125,225.59972222222223,2715.627222222222,Mike Ruiz
66,66,67,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1,Y,13,8,0,11,3,10,1,9,4,4,3,3,3,129.68722222222223,104.36333333333332,122.12916666666666,118.68277777777776,106.90638888888888,125.50416666666666,136.52666666666667,117.05222222222224,115.25222222222222,104.14583333333331,128.3733333333333,126.25416666666666,1501.8774999999996,Jennifer Ward
67,67,68,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1,Y,17,8,0,10,5,10,8,9,3,3,3,2,3,133.5522222222222,140.9463888888889,125.07777777777778,121.00805555555556,110.54305555555555,143.4177777777778,131.5075,131.9763888888889,93.29333333333334,119.58083333333332,129.69361111111112,119.71416666666669,1568.3111111111111,Courtney Gonzalez
68,68,69,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1,Y,13,8,0,21,4,21,13,3,3,4,3,3,3,120.62166666666668,114.98555555555556,122.4125,115.65083333333334,114.92805555555556,122.32083333333334,133.37805555555556,97.15305555555555,109.96194444444444,101.57222222222222,116.2538888888889,116.14555555555556,1454.3841666666667,Jill Rodriguez
